Results,Entity,Line,Column,CheckID,Check Name,Ignored,Note,Severity
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\sdk\io\gcp\spanner\SpannerIO.java line: 1575","SpannerIO.java","534","0","RECOMMENDED_20","Duplicate Code","","",""
    "Unused Parameter","spannerConfig","539","54","RECOMMENDED_18","Unused Local Variables","","",""
    "Unused Parameter","transaction","541","67","RECOMMENDED_18","Unused Local Variables","","",""
    "Unused Parameter","timestampBound","543","56","RECOMMENDED_18","Unused Local Variables","","",""
    "Unused Parameter","batching","545","43","RECOMMENDED_18","Unused Local Variables","","",""
    "Violation: withProjectId defined but not called.","withProjectId","556","19","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withProjectId defined but not called.","withProjectId","561","19","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withInstanceId defined but not called.","withInstanceId","567","19","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withInstanceId defined but not called.","withInstanceId","572","19","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withDatabaseId defined but not called.","withDatabaseId","578","19","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withHost defined but not called.","withHost","583","19","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withHost defined but not called.","withHost","588","19","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withEmulatorHost defined but not called.","withEmulatorHost","593","19","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withEmulatorHost defined but not called.","withEmulatorHost","598","19","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withDatabaseId defined but not called.","withDatabaseId","603","19","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withServiceFactory defined but not called.","withServiceFactory","609","12","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withTimestamp defined but not called.","withTimestamp","618","19","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withLowPriority defined but not called.","withLowPriority","636","19","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withHighPriority defined but not called.","withHighPriority","641","19","RECOMMENDED_13","Unused Functions","","",""
    "Violation: expand defined but not called.","expand","649","31","RECOMMENDED_13","Unused Functions","","",""
    "Violation: buildServiceCallMetricForReadOp defined but not called.","buildServiceCallMetricForReadOp","673","29","RECOMMENDED_13","Unused Functions","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\test\java\org\apache\beam\sdk\io\gcp\spanner\SpannerIOReadTest.java line: 216","SpannerIO.java","687","0","RECOMMENDED_20","Duplicate Code","","",""
    "Violation: getPartitionOptions defined but not called.","getPartitionOptions","726","40","RECOMMENDED_13","Unused Functions","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\sdk\io\gcp\spanner\SpannerIO.java line: 534","SpannerIO.java","736","0","RECOMMENDED_20","Duplicate Code","","",""
    "Unused Parameter","spannerConfig","741","54","RECOMMENDED_18","Unused Local Variables","","",""
    "Unused Parameter","readOperation","743","54","RECOMMENDED_18","Unused Local Variables","","",""
    "Unused Parameter","timestampBound","745","56","RECOMMENDED_18","Unused Local Variables","","",""
    "Unused Parameter","transaction","747","67","RECOMMENDED_18","Unused Local Variables","","",""
    "Violation: setPartitionOptions defined but not called.","setPartitionOptions","749","23","RECOMMENDED_13","Unused Functions","","",""
    "Unused Parameter","partitionOptions","749","60","RECOMMENDED_18","Unused Local Variables","","",""
    "Unused Parameter","batching","751","43","RECOMMENDED_18","Unused Local Variables","","",""
    "Unused Parameter","typeDescriptor","753","64","RECOMMENDED_18","Unused Local Variables","","",""
    "Unused Parameter","toRowFn","755","56","RECOMMENDED_18","Unused Local Variables","","",""
    "Unused Parameter","fromRowFn","757","60","RECOMMENDED_18","Unused Local Variables","","",""
    "Violation: withBeamRowConverters defined but not called.","withBeamRowConverters","762","16","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withProjectId defined but not called.","withProjectId","779","16","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withProjectId defined but not called.","withProjectId","784","16","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withInstanceId defined but not called.","withInstanceId","795","16","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withDatabaseId defined but not called.","withDatabaseId","806","16","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withHost defined but not called.","withHost","812","16","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withHost defined but not called.","withHost","817","16","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withEmulatorHost defined but not called.","withEmulatorHost","822","16","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withEmulatorHost defined but not called.","withEmulatorHost","827","16","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withServiceFactory defined but not called.","withServiceFactory","837","9","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withTransaction defined but not called.","withTransaction","842","16","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withTimestamp defined but not called.","withTimestamp","846","16","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withColumns defined but not called.","withColumns","866","16","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withQuery defined but not called.","withQuery","870","16","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withQuery defined but not called.","withQuery","874","16","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withQueryName defined but not called.","withQueryName","878","16","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withKeySet defined but not called.","withKeySet","882","16","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withIndex defined but not called.","withIndex","886","16","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withPartitionOptions defined but not called.","withPartitionOptions","895","16","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withLowPriority defined but not called.","withLowPriority","899","16","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withHighPriority defined but not called.","withHighPriority","904","16","RECOMMENDED_13","Unused Functions","","",""
    "Violation: expand defined but not called.","expand","910","31","RECOMMENDED_13","Unused Functions","","",""
    "Future work needed: key phrase 'todo' found","SpannerIO.java","918","8","RECOMMENDED_19","Comments Indicating Future Fixes","","",""
    "Violation: getFormatFn defined but not called.","getFormatFn","961","38","RECOMMENDED_13","Unused Functions","","",""
    "Unused Parameter","input","963","10","RECOMMENDED_18","Unused Local Variables","","",""
    "Violation: ReadRows defined but not called.","ReadRows","975","11","RECOMMENDED_13","Unused Functions","","",""
    "Violation: expand defined but not called.","expand","982","28","RECOMMENDED_13","Unused Functions","","",""
    "Violation: expand defined but not called.","expand","1012","40","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withProjectId defined but not called.","withProjectId","1036","29","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withProjectId defined but not called.","withProjectId","1041","29","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withInstanceId defined but not called.","withInstanceId","1047","29","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withInstanceId defined but not called.","withInstanceId","1052","29","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withDatabaseId defined but not called.","withDatabaseId","1058","29","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withDatabaseId defined but not called.","withDatabaseId","1063","29","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withHost defined but not called.","withHost","1069","29","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withHost defined but not called.","withHost","1074","29","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withEmulatorHost defined but not called.","withEmulatorHost","1079","29","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withEmulatorHost defined but not called.","withEmulatorHost","1084","29","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withServiceFactory defined but not called.","withServiceFactory","1089","22","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withTimestampBound defined but not called.","withTimestampBound","1094","29","RECOMMENDED_13","Unused Functions","","",""
    "Unused Parameter","spannerConfig","1102","61","RECOMMENDED_18","Unused Local Variables","","",""
    "Unused Parameter","newTimestampBound","1104","63","RECOMMENDED_18","Unused Local Variables","","",""
    "Violation: values defined but not called.","values","1111","14","RECOMMENDED_13","Unused Functions","","",""
    "Violation: valueOf defined but not called.","valueOf","1111","14","RECOMMENDED_13","Unused Functions","","",""
    "Unused Parameter","s","1111","14","RECOMMENDED_18","Unused Local Variables","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\sdk\io\gcp\spanner\SpannerIO.java line: 736","SpannerIO.java","1142","0","RECOMMENDED_20","Duplicate Code","","",""
    "Unused Parameter","spannerConfig","1147","54","RECOMMENDED_18","Unused Local Variables","","",""
    "Unused Parameter","batchSizeBytes","1149","46","RECOMMENDED_18","Unused Local Variables","","",""
    "Unused Parameter","maxNumMutations","1151","47","RECOMMENDED_18","Unused Local Variables","","",""
    "Unused Parameter","maxNumRows","1153","42","RECOMMENDED_18","Unused Local Variables","","",""
    "Unused Parameter","failureMode","1155","50","RECOMMENDED_18","Unused Local Variables","","",""
    "Unused Parameter","schemaReadySignal","1157","59","RECOMMENDED_18","Unused Local Variables","","",""
    "Unused Parameter","groupingFactor","1159","45","RECOMMENDED_18","Unused Local Variables","","",""
    "Unused Parameter","dialect","1161","63","RECOMMENDED_18","Unused Local Variables","","",""
    "Violation: withProjectId defined but not called.","withProjectId","1172","17","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withProjectId defined but not called.","withProjectId","1177","17","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withInstanceId defined but not called.","withInstanceId","1188","17","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withDatabaseId defined but not called.","withDatabaseId","1199","17","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withHost defined but not called.","withHost","1205","17","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withHost defined but not called.","withHost","1211","17","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withEmulatorHost defined but not called.","withEmulatorHost","1216","17","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withEmulatorHost defined but not called.","withEmulatorHost","1221","17","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withDialectView defined but not called.","withDialectView","1225","17","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withCommitDeadline defined but not called.","withCommitDeadline","1234","17","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withMaxCommitDelay defined but not called.","withMaxCommitDelay","1246","17","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withMaxCumulativeBackoff defined but not called.","withMaxCumulativeBackoff","1258","17","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withServiceFactory defined but not called.","withServiceFactory","1264","10","RECOMMENDED_13","Unused Functions","","",""
    "Violation: grouped defined but not called.","grouped","1270","24","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withBatchSizeBytes defined but not called.","withBatchSizeBytes","1277","17","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withFailureMode defined but not called.","withFailureMode","1282","17","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withMaxNumMutations defined but not called.","withMaxNumMutations","1290","17","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withMaxNumRows defined but not called.","withMaxNumRows","1298","17","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withSchemaReadySignal defined but not called.","withSchemaReadySignal","1312","17","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withGroupingFactor defined but not called.","withGroupingFactor","1322","17","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withLowPriority defined but not called.","withLowPriority","1326","17","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withHighPriority defined but not called.","withHighPriority","1331","17","RECOMMENDED_13","Unused Functions","","",""
    "Violation: populateDisplayData defined but not called.","populateDisplayData","1346","16","RECOMMENDED_13","Unused Functions","","",""
    "Violation: of defined but not called.","of","1386","28","RECOMMENDED_13","Unused Functions","","",""
    "Violation: expand defined but not called.","expand","1391","17","RECOMMENDED_13","Unused Functions","","",""
    "Violation: populateDisplayData defined but not called.","populateDisplayData","1422","16","RECOMMENDED_13","Unused Functions","","",""
    "Violation: expand defined but not called.","expand","1428","30","RECOMMENDED_13","Unused Functions","","",""
    "Violation: decode defined but not called.","decode","1530","25","RECOMMENDED_13","Unused Functions","","",""
    "Violation: encode defined but not called.","encode","1540","18","RECOMMENDED_13","Unused Functions","","",""
    "Violation: getTraceSampleProbability defined but not called.","getTraceSampleProbability","1573","30","RECOMMENDED_13","Unused Functions","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\sdk\io\gcp\spanner\SpannerIO.java line: 1142","SpannerIO.java","1575","0","RECOMMENDED_20","Duplicate Code","","",""
    "Unused Parameter","spannerConfig","1580","54","RECOMMENDED_18","Unused Local Variables","","",""
    "Unused Parameter","changeStreamName","1582","50","RECOMMENDED_18","Unused Local Variables","","",""
    "Unused Parameter","metadataInstance","1584","50","RECOMMENDED_18","Unused Local Variables","","",""
    "Unused Parameter","metadataDatabase","1586","50","RECOMMENDED_18","Unused Local Variables","","",""
    "Unused Parameter","metadataTable","1588","47","RECOMMENDED_18","Unused Local Variables","","",""
    "Unused Parameter","inclusiveStartAt","1590","53","RECOMMENDED_18","Unused Local Variables","","",""
    "Unused Parameter","inclusiveEndAt","1592","51","RECOMMENDED_18","Unused Local Variables","","",""
    "Unused Parameter","rpcPriority","1594","50","RECOMMENDED_18","Unused Local Variables","","",""
    "Unused Parameter","probability","1596","56","RECOMMENDED_18","Unused Local Variables","","",""
    "Violation: withProjectId defined but not called.","withProjectId","1607","28","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withProjectId defined but not called.","withProjectId","1612","28","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withInstanceId defined but not called.","withInstanceId","1618","28","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withInstanceId defined but not called.","withInstanceId","1623","28","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withDatabaseId defined but not called.","withDatabaseId","1629","28","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withDatabaseId defined but not called.","withDatabaseId","1634","28","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withTraceSampleProbability defined but not called.","withTraceSampleProbability","1680","28","RECOMMENDED_13","Unused Functions","","",""
    "Violation: expand defined but not called.","expand","1685","41","RECOMMENDED_13","Unused Functions","","",""
    "Unused Parameter","e","1815","35","RECOMMENDED_18","Unused Local Variables","","",""
    "Violation: getMetadataTable defined but not called.","getMetadataTable","1876","11","RECOMMENDED_13","Unused Functions","","",""
    "Violation: setMetadataTable defined but not called.","setMetadataTable","1879","9","RECOMMENDED_13","Unused Functions","","",""
    "Unused Parameter","table","1879","33","RECOMMENDED_18","Unused Local Variables","","",""
    "Violation: processElement defined but not called.","processElement","1885","16","RECOMMENDED_13","Unused Functions","","",""
    "Violation: compareTo defined but not called.","compareTo","2066","17","RECOMMENDED_13","Unused Functions","","",""
    "Future work needed: key phrase 'todo' found","SpannerIO.java","2071","4","RECOMMENDED_19","Comments Indicating Future Fixes","","",""
    "Violation: output defined but not called.","output","2083","18","RECOMMENDED_13","Unused Functions","","",""
    "Violation: setup defined but not called.","setup","2214","16","RECOMMENDED_13","Unused Functions","","",""
    "Violation: load defined but not called.","load","2230","45","RECOMMENDED_13","Unused Functions","","",""
    "Violation: teardown defined but not called.","teardown","2239","16","RECOMMENDED_13","Unused Functions","","",""
    "Violation: processElement defined but not called.","processElement","2244","16","RECOMMENDED_13","Unused Functions","","",""
    "Violation: getTransactionOptions defined but not called.","getTransactionOptions","2283","40","RECOMMENDED_13","Unused Functions","","",""
    "Violation: reportServiceCallMetricsForBatch defined but not called.","reportServiceCallMetricsForBatch","2298","17","RECOMMENDED_13","Unused Functions","","",""
    "Unused Parameter","e","2355","42","RECOMMENDED_18","Unused Local Variables","","",""
    "Violation: SpannerIO defined but not called.","SpannerIO","2370","10","RECOMMENDED_13","Unused Functions","","",""
  "<a id=""11"">C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\sdk\io\TextIO.java</a>","","","","","","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\runners\direct\DirectRunner.java line: 55","TextIO.java","64","0","RECOMMENDED_20","Duplicate Code","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\sdk\transforms\windowing\Window.java line: 34","TextIO.java","63","0","RECOMMENDED_20","Duplicate Code","","",""
    "Max Length(200) Exceeded: {'CountLine': 1498} lines.","TextIO.java","0","0","RECOMMENDED_02","Files too long","","",""
    "Future work needed: key phrase 'todo' found","TextIO.java","187","13","RECOMMENDED_19","Comments Indicating Future Fixes","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\sdk\io\TextIO.java line: 487","TextIO.java","294","0","RECOMMENDED_20","Duplicate Code","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\sdk\io\TextIO.java line: 585","TextIO.java","296","0","RECOMMENDED_20","Duplicate Code","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\sdk\io\TextIO.java line: 586","TextIO.java","297","0","RECOMMENDED_20","Duplicate Code","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\sdk\io\TextIO.java line: 588","TextIO.java","299","0","RECOMMENDED_20","Duplicate Code","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\sdk\io\FileIO.java line: 594","TextIO.java","301","0","RECOMMENDED_20","Duplicate Code","","",""
    "Unused Parameter","filepattern","305","60","RECOMMENDED_18","Unused Local Variables","","",""
    "Unused Parameter","matchConfiguration","307","64","RECOMMENDED_18","Unused Local Variables","","",""
    "Unused Parameter","hintManyFiles","309","55","RECOMMENDED_18","Unused Local Variables","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\sdk\io\TextIO.java line: 500","TextIO.java","311","0","RECOMMENDED_20","Duplicate Code","","",""
    "Unused Parameter","compression","311","50","RECOMMENDED_18","Unused Local Variables","","",""
    "Unused Parameter","delimiter","313","54","RECOMMENDED_18","Unused Local Variables","","",""
    "Unused Parameter","skipHeaderLines","315","46","RECOMMENDED_18","Unused Local Variables","","",""
    "Violation: from defined but not called.","from","333","16","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withCompressionType defined but not called.","withCompressionType","351","16","RECOMMENDED_13","Unused Functions","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\sdk\io\TextIO.java line: 517","TextIO.java","352","0","RECOMMENDED_20","Duplicate Code","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\sdk\io\FileIO.java line: 1257","TextIO.java","361","0","RECOMMENDED_20","Duplicate Code","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\sdk\io\TextIO.java line: 536","TextIO.java","371","0","RECOMMENDED_20","Duplicate Code","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\sdk\io\TextIO.java line: 537","TextIO.java","372","0","RECOMMENDED_20","Duplicate Code","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\sdk\io\TextIO.java line: 538","TextIO.java","373","0","RECOMMENDED_20","Duplicate Code","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\sdk\io\TextIO.java line: 539","TextIO.java","374","0","RECOMMENDED_20","Duplicate Code","","",""
    "Violation: watchForNewFiles defined but not called.","watchForNewFiles","383","16","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withEmptyMatchTreatment defined but not called.","withEmptyMatchTreatment","402","16","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withDelimiter defined but not called.","withDelimiter","407","16","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withSkipHeaderLines defined but not called.","withSkipHeaderLines","413","16","RECOMMENDED_13","Unused Functions","","",""
    "Violation: expand defined but not called.","expand","428","31","RECOMMENDED_13","Unused Functions","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\sdk\io\TextIO.java line: 566","TextIO.java","460","0","RECOMMENDED_20","Duplicate Code","","",""
    "Violation: populateDisplayData defined but not called.","populateDisplayData","460","16","RECOMMENDED_13","Unused Functions","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\sdk\io\TextIO.java line: 294","TextIO.java","487","0","RECOMMENDED_20","Duplicate Code","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\sdk\io\TextIO.java line: 296","TextIO.java","489","0","RECOMMENDED_20","Duplicate Code","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\sdk\io\TextIO.java line: 297","TextIO.java","490","0","RECOMMENDED_20","Duplicate Code","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\sdk\io\TextIO.java line: 299","TextIO.java","492","0","RECOMMENDED_20","Duplicate Code","","",""
    "Unused Parameter","matchConfiguration","498","64","RECOMMENDED_18","Unused Local Variables","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\sdk\io\TextIO.java line: 311","TextIO.java","500","0","RECOMMENDED_20","Duplicate Code","","",""
    "Unused Parameter","compression","500","50","RECOMMENDED_18","Unused Local Variables","","",""
    "Unused Parameter","delimiter","502","54","RECOMMENDED_18","Unused Local Variables","","",""
    "Violation: setSkipHeaderLines defined but not called.","setSkipHeaderLines","504","23","RECOMMENDED_13","Unused Functions","","",""
    "Unused Parameter","skipHeaderLines","504","46","RECOMMENDED_18","Unused Local Variables","","",""
    "Violation: withCompressionType defined but not called.","withCompressionType","516","19","RECOMMENDED_13","Unused Functions","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\sdk\io\TextIO.java line: 352","TextIO.java","517","0","RECOMMENDED_20","Duplicate Code","","",""
    "Violation: withEmptyMatchTreatment defined but not called.","withEmptyMatchTreatment","530","19","RECOMMENDED_13","Unused Functions","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\sdk\io\TextIO.java line: 371","TextIO.java","536","0","RECOMMENDED_20","Duplicate Code","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\sdk\io\TextIO.java line: 372","TextIO.java","537","0","RECOMMENDED_20","Duplicate Code","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\sdk\io\TextIO.java line: 373","TextIO.java","538","0","RECOMMENDED_20","Duplicate Code","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\sdk\io\TextIO.java line: 374","TextIO.java","539","0","RECOMMENDED_20","Duplicate Code","","",""
    "Violation: watchForNewFiles defined but not called.","watchForNewFiles","545","19","RECOMMENDED_13","Unused Functions","","",""
    "Violation: withDelimiter defined but not called.","withDelimiter","550","12","RECOMMENDED_13","Unused Functions","","",""
    "Violation: expand defined but not called.","expand","555","31","RECOMMENDED_13","Unused Functions","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\sdk\io\TextIO.java line: 460","TextIO.java","566","0","RECOMMENDED_20","Duplicate Code","","",""
    "Violation: populateDisplayData defined but not called.","populateDisplayData","566","16","RECOMMENDED_13","Unused Functions","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\sdk\io\TextIO.java line: 489","TextIO.java","585","0","RECOMMENDED_20","Duplicate Code","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\sdk\io\TextIO.java line: 490","TextIO.java","586","0","RECOMMENDED_20","Duplicate Code","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\sdk\io\TextIO.java line: 492","TextIO.java","588","0","RECOMMENDED_20","Duplicate Code","","",""
    "Unused Parameter","desiredBundleSizeBytes","594","54","RECOMMENDED_18","Unused Local Variables","","",""
    "Unused Parameter","delimiter","596","54","RECOMMENDED_18","Unused Local Variables","","",""
    "Unused Parameter","skipHeaderLines","598","46","RECOMMENDED_18","Unused Local Variables","","",""
    "Violation: withDesiredBundleSizeBytes defined but not called.","withDesiredBundleSizeBytes","604","14","RECOMMENDED_13","Unused Functions","","",""
    "Violation: expand defined but not called.","expand","618","31","RECOMMENDED_13","Unused Functions","","",""
    "Violation: populateDisplayData defined but not called.","populateDisplayData","628","16","RECOMMENDED_13","Unused Functions","","",""
    "Violation: apply defined but not called.","apply","646","37","RECOMMENDED_13","Unused Functions","","",""
    "Unused Parameter","filenamePrefix","737","46","RECOMMENDED_18","Unused Local Variables","","",""
    "Unused Parameter","tempDirectory","740","46","RECOMMENDED_18","Unused Local Variables","","",""
    "Unused Parameter","shardTemplate","742","78","RECOMMENDED_18","Unused Local Variables","","",""
    "Unused Parameter","filenameSuffix","744","79","RECOMMENDED_18","Unused Local Variables","","",""
    "Unused Parameter","header","746","71","RECOMMENDED_18","Unused Local Variables","","",""
    "Unused Parameter","footer","748","71","RECOMMENDED_18","Unused Local Variables","","",""
    "Unused Parameter","delimiter","750","64","RECOMMENDED_18","Unused Local Variables","","",""
    "Unused Parameter","filenamePolicy","753","35","RECOMMENDED_18","Unused Local Variables","","",""
    "Unused Parameter","dynamicDestinations","756","69","RECOMMENDED_18","Unused Local Variables","","",""
    "Unused Parameter","destinationFunction","759","56","RECOMMENDED_18","Unused Local Variables","","",""
    "Unused Parameter","emptyDestination","761","71","RECOMMENDED_18","Unused Local Variables","","",""
    "Unused Parameter","formatFunction","764","56","RECOMMENDED_18","Unused Local Variables","","",""
    "Unused Parameter","numShards","767","43","RECOMMENDED_18","Unused Local Variables","","",""
    "Unused Parameter","batchSize","769","75","RECOMMENDED_18","Unused Local Variables","","",""
    "Unused Parameter","batchSizeBytes","771","80","RECOMMENDED_18","Unused Local Variables","","",""
    "Unused Parameter","batchMaxBufferingDuration","774","29","RECOMMENDED_18","Unused Local Variables","","",""
    "Unused Parameter","windowedWrites","776","70","RECOMMENDED_18","Unused Local Variables","","",""
    "Unused Parameter","windowedWrites","778","68","RECOMMENDED_18","Unused Local Variables","","",""
    "Unused Parameter","noSpilling","780","66","RECOMMENDED_18","Unused Local Variables","","",""
